作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2020-09-08 23:43:32,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-11,1,yukari05831k,,,,0,10,0,
回答開始,2020-09-08 23:43:36,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-25,2,yukari05831k,,,,0,10,0,
正答,2020-09-08 23:43:36,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-11,1,yukari05831k,3,,,0,10,0,
回答開始,2020-09-08 23:43:42,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-7,3,yukari05831k,,,,0,10,0,
正答,2020-09-08 23:43:42,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-25,2,yukari05831k,4,,,0,10,0,
回答開始,2020-09-08 23:43:46,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-19,4,yukari05831k,,,,0,10,0,
正答,2020-09-08 23:43:46,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-7,3,yukari05831k,4,,,0,10,0,
回答開始,2020-09-08 23:43:51,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-5,5,yukari05831k,,,,0,10,0,
正答,2020-09-08 23:43:51,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-19,4,yukari05831k,3,,,0,10,0,
回答開始,2020-09-08 23:43:56,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-6,6,yukari05831k,,,,0,10,0,
正答,2020-09-08 23:43:56,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-5,5,yukari05831k,4,,,0,10,0,
回答開始,2020-09-08 23:44:03,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-6,7,yukari05831k,,,,0,10,0,
正答,2020-09-08 23:44:03,natsumi08911k,41,神奈川県,藤沢市,dq50,,,dq50-6,6,yukari05831k,6,,,0,10,0,
合格,2020-09-08 23:44:15,natsumi08911k,41,神奈川県,藤沢市,dq50,,,,,mariko06981k,28,0.74,0.07,0.81,10,0,
合格,2020-09-08 23:44:42,natsumi08911k,41,神奈川県,藤沢市,dq50,,,,,mariko06981k,28,0.74,0.07,0.81,10,0,
合格,2020-09-08 23:45:10,natsumi08911k,41,神奈川県,藤沢市,dq50,,,,,mariko06981k,28,0.74,0.07,0.81,10,0,
合格,2020-09-08 23:45:30,natsumi08911k,41,神奈川県,藤沢市,dq50,,,,,mariko06981k,28,0.74,0.07,0.81,10,0,
回答開始,2020-09-08 23:56:30,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-22,0,yukari05831k,,,,0.7,10,0.7,
回答開始,2020-09-08 23:56:37,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-13,1,yukari05831k,,,,0.7,10,0.7,
回答開始,2020-09-08 23:56:40,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-25,2,yukari05831k,,,,0.7,10,0.7,
正答,2020-09-08 23:56:40,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-13,1,yukari05831k,3,,,0.7,10,0.7,
回答開始,2020-09-08 23:56:45,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-3,3,yukari05831k,,,,0.7,10,0.7,
